Id,Secretaria,Responsável Id,Responsável,Endereço,Telefone,E-mail
casacivil,Casa Civil,artur-lemos,Artur Lemos,"Praça Marechal Deodoro, s/n, Centro Histórico, Porto Alegre, CEP 90010-905",(51) 3210-4523 e 3210-4193,gabinete@casacivil.rs.gov.br
casamilitar,Casa Militar,cel-luciano-chaves-boeira,Cel. Luciano Chaves Boeira,"Praça Marechal Deodoro, s/n, Centro Histórico, Porto Alegre, CEP 90010-905",(51) 3210-4186,casa-militar@casamilitar.rs.gov.br
pge,Procuradoria-Geral do Estado,eduardo-cunha-da-costa,Eduardo Cunha da Costa,"Av. Borges de Medeiros, 1.555 - 18º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288-1600,gabinete@pge.rs.gov.br
agricultura,"Secretaria da Agricultura, Pecuária, Produção Sustentável e Irrigação",clair-kuhn,Clair Kuhn,"Av. Getúlio Vargas, 1.384, Menino Deus, Porto Alegre, CEP 90150-004",(51) 3288-6200,agenda@agricultura.rs.gov.br
desenvolvimento-social,Secretaria de Desenvolvimento Social,beto-fantinel,Beto Fantinel,"Av. Borges de Medeiros, 1.501 - 8º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288-6400,agenda@social.rs.gov.br
cultura,Secretaria da Cultura,beatriz-araujo,Beatriz Araujo,"Av. Borges de Medeiros, 1.501 – 10º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288-5400,gabinete@sedac.rs.gov.br
comunicacao,Secretaria de Comunicação,caio-tomazeli,Caio Tomazeli,"Praça Marechal Deodoro, s/n, Centro Histórico, Porto Alegre, CEP 90010-905",(51) 3213-0701,gabinete-secom@secom.rs.gov.br
desenvolvimento-economico,Secretaria de Desenvolvimento Econômico,ernani-polo,Ernani Polo,"Av. Borges de Medeiros, 1.501 - 16º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288-1046,gab@sedec.rs.gov.br
desenvolvimento-rural,Secretaria de Desenvolvimento Rural,vilson-covatti,Vilson Covatti,"Av. Borges de Medeiros, 1.501 - 9º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288-6740,gabinete@sdr.rs.gov.br
desenvolvimento-urbano-e-metropolitano,Secretaria de Desenvolvimento Urbano e Metropolitano,carlos-rafael-mallmann,Carlos Rafael Mallmann,"Av. Borges de Medeiros, 1.501 - 19º andar, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288-6108 e 3288-6113,gabinete@sedur.rs.gov.br
educacao,Secretaria da Educação,raquel-teixeira,Raquel Teixeira,"Av. Borges de Medeiros, 1.501 - prédio anexo, Praia de Belas, Porto Alegre, CEP 90119-900",(51) 3288-4700,gabinetese@seduc.rs.gov.br
